review,recomend
Its never gets old,Recommended
"Coming from consoles, it was pretty disheartening to see how poor of a job they did porting this masterpiece of survival horror. There are problems up and down here: There are glaring visual issues (the face mapping and voice over sync! my god!!) The controls feel loose and unresponsive, there are framerate issues abound... it feels just a little bit like somebody Gmodded Re4, in all honesty. Stick to consoles if you want to experience this classic!",Not Recommended
"Awful controls on K&M, you move like a cumbersome vehicle, however many minutes I've just played this for was a waste of time.  If you were enabled with normal movement the enemies would be dead in seconds but instead it's a battle to get the idiot to point in the right direction, aiming is a joke too. Textures are ugly, the osd is massive on high resolution, the sound is boring. Zero fun.",Not Recommended
"For me, this is the best resident evil game in the series. Highly recommended",Recommended
"It's a good game but i feel it plays worse on PC than what i remember on console. \n\nI couldn't really play it for longer than 20 minutes a time before i got queezy from the camera movement and FOV. I did try looking for mods, or file settings i could tweak to make it a little smoother but unfortunately i couldn't find anything.\n\n",Not Recommended
"Great game.\n\nPlayed it for the 4th time and it is pretty well paced (gameplay wise). The story is a little dumb but you know.\n\nAlthough this game was the beginning of the action shooter genre change for resident evil, this particular title still has a dark and foreboding atmosphere. The first and most of the second part of the game have some really creepy environments that keep you tense. The scariest part is when you see a message where the head honcho of the village, who has up till that point beaten the character in cutscenes, is going to ambush you at a cabin. There are also other scary enemies like the Novistadors and the Regenerators. The regular enemies of the game have also been very well made for the larger environment new in this title.\n\nThis game's story is a bit ridiculous though. Leon has to go find the president's daughter who is rumored to be in a part of Spain. Within 5 minutes of investigating, your backup team is killed and you are trapped in the village. Leon's dialogue consists of a bunch of one-liners and smart mouth responses. The villains you meet are a bit one dimensional and only serve to show how controlling Saddler is and how powerful and different the Los Plagas compared to the other viruses in previous entries of the series. But at the very least both Leon and the villains are entertaining.\n\nThis is a linear shooter game with a merchant available for you to buy and upgrade weapons. You can also find treasure if you stray off the intended path or have a good eye and sell them for money. There are different categories of weapons: pistols, shotguns, sniper riles, and magnums. Each weapon has pros and cons when compared to other ones in its category, but you only really see this after you fully upgrade them. In your normal playthrough you will more than likely get a new version of your weapon when it comes out instead of sticking with your current one because the new version is almost always more powerful than the maximum amount you can upgrade it at that point (new upgrades unlock with each chapter clear). However that may be a good thing because after you try out all the guns in your first playthrough you will know which one is your favorite on your second one.\n\nThis is a very excellent game and it is unfortunate that none of the titles that came after this, except maybe 7, are as good in my opinion. This game had a very nice balance of horror and action and you were not really concerned about the BOW economy and other bull.",Recommended
well...\ni see that the president has equipped his daughter with ballistics too.,Recommended
The best Resident Evil game.,Recommended
spooked front and back,Recommended
BUYER BEWARE. Most of these positive reviews are pre Windows 10. Good luck jumping through hoops getting it to work on your machine. Capcom hasnt patched it yet and likely never will at this point.,Not Recommended
yes definetly,Recommended
It's a good time.\n\nWhen you get to the lake shoot the water for a funny.,Recommended
"People are reviewing this like it was a PS2 exclusive. That port was butt. I remember playing this on my trusty purple Gamecube. Good times (Super Mario Sunshine, Mario Kart Double Dash and Wind Waker). Best port for the time too until the Wii version came out. \n\nRight now, this is the most definitive port out there IMO if you're looking for 60 fps, HD textures, and the ability to mod. \n\nIf you want smoother controls and a more faithful experience intended by it's developers. Get the Wii version.\n\nIt's a cult classic game with a cheesy but also good plot. interesting and well paced. Tank controls like the original games but it's in third person. So you stop and aim and it can take getting used to, but once you play for a bit. It becomes natural. \n\nThis game is best played with a controller. I feel like people turn away from this game because it works like crud on mouse and keyboard. This game was intended to played with a controller.\n\n You shouldn't miss this if you're a Recommended GAMER especially if you haven't played it yet.\n\n(also haven't had any of the crashes people are experiencing so I have no comment on that.)",Recommended
Still my favorite Resident Evil game.,Recommended
"nearly unplayable due to awful movement and aiming controls\nLeon moves like a tank, cant be bothered to walk while aiming and instead of following the mouse he must be rotated with WASD, which was horrible design even back then.",Not Recommended
"if you are reading this review and you have not bought this game, do yourself a favour  stop reading this review and buy the game",Recommended
good game,Recommended
I love this game' adventure and a challenge.,Recommended
10/10 lot of fun!\n\ngreat game!,Recommended
Gud game \n,Recommended
all time favorite,Recommended
"[h1] Resident Evil 4, a Classic [/h1] \n\nThis game has been released on basically everything at this point, and for good reason. This is one of those great games that you should play or maybe even play again. The gameplay is tight, the story is hilarious and fun, and the characters are memorable. Highly recommended. This was a great port, it runs well and the PC controls are natural. \n\n10/10 Perfect, the big cheese",Recommended
10/10,Recommended
Damn fun and occasionally tense game that's just exciting to play even decades later. The tank controls might be dated but the game plays the controls to its strengths so that it feels right by design -- much the same way the classics used the static camera angles to their advantage. It's up there with the better RE games.\n\nLooks amazing for a GameCube game and didn't have any issues with the port.,Recommended
"This game is 10/10, absolutely, legitimately no question about it. The way the game can make you conserve ammunition for the hordes of undead that spawn in new areas or upon completion of relatively tasking puzzles is great. I've loved this game from start to finish. \n\nWith that said.\n\nIt is clear to see in RE5 at least they realised if you're going to work for something such as the new costumes or unlocked infinite weapons you can at least use them during another playthrough. In RE4, this is the opposite. Once you complete the campaign you unlock a new 'Round', which consists of the same campaign simply played again. When you start a new game, it doesn't seem to allow you to change difficulty, and as such resets all of your equipment as it needs to be a new save to begin the game on a harder difficulty. This has saddened me greatly.",Recommended
"Resident Evil 4 or Biohazard 4, is one of the best games in the franchise that was released world-wide on many different consoles, and even got a IOS port as well. Resident Evil 4 was released in 11, January, 2005. Which has dated since then.\n\nThe game has many survival-horror elements and other elements from the past games that we're released in 1996-1999.\n\nYou play the game as Leon, Scott-Kennedy. Which happens to be the main character of Resident Evil 2, which was released in 21, January, 1998, also for many different consoles, and even got a 2019 remake for PC, PS4, and Xbox One.\n\nThe main-objective in this game, is to rescue The President's daughter, Ashley Graham, and escape. But that didn't go as planned.\n\nYou face many monsters, and enemies, But as long as you have a weapon and ammo and you know how to use it, you should be fine.\n\nI won't say much else, but if you haven't played this game, you really should. But that depends on you.\n\nYou will have many hours of fun, and if your willing to test your strength, attempt Professional Mode, and see if you come out alive.\n\nHave a nice day, and if you bought this game, Enjoy it :D",Recommended
"It's an addictive, fun game, but I'm not going to go out of my way to fix the slow motion issue.",Recommended
"Whether or not you are a Resident Evil fan, definitely check this game out! The story is interesting (especially if you read the notes scattered throughout the game). The graphics don't compare to modern titles but don't let that hold you back, its charming aesthetic will grow on you the more you play it. Controls are bit confusing, I definitely recommend using a controller for a much better experience. The sound is excellent and cleverly atmospheric. The game does an excellent job balancing difficulty. There will be times where you will feel like you are barely surviving and other times when you'll be doing pretty well. The boss fights are engaging and the regular enemies are always fun to fight. There are several difficulty settings that allow all kinds of players enjoy the game. Finally, the game provides several game modes that range from an alternate story mode to a tense mercenaries mode. Two special costumes, a variety weapons, and New Game+  gives the game high replay value. I wholeheartedly recommend this game! It's definitely worth the $20, but I recommend you wait for the next time it's on sale so you can buy some of the other wonderful Resident Evil games as well. My only complaint is that CAPCOM poorly remastered this game. It is only a little cleaner looking than the Gamecube and PS2 versions. Despite this, it is still an amazing game. 10/10.",Recommended
"This is seriously one of the best games of all time. I play it once a year, at least. I've probably cleared it 50+ times.",Recommended
"Doesn't launch on my 120hz monitor, had to connect my laptop to a tv. Otherwise amazing game, would highly recommend.",Recommended
"Steam needs to have an algorithm that decreases the price of a product as a function of time. This game came out a long time ago and if no sales go on, you still have to pay $19.99 for it!!!",Not Recommended
"My game started with a black screen and never got passed it even though I could hear it. I have a 980 video card and it does not like this game. If I plugged up an HDMI to a TV it would come up perfect.y If you have that issue with new computers, that is a possible fix. Customer Support could not help me at all trying to figure out what was going on. Still a great game though. Unfortunately I bought it on another system before I figured out how to fix it.",Recommended
incredible.,Recommended
"Although the controls might take a lot of time to get used to, this game so far has been the most intense and horrific entry to the series that I've played. Having played nearly all titles, Resident Evil 4 has stood out in the masses. Throughout the entire game I was continuously  incredibly impressed with the story and combat pacing. I 100% recommend this game to fans of the series who haven't tried this one yet. Although this game is NOT for everyone. PS: Upon completion this game instantly took the place of my favourite game of all time",Recommended
"I've been a long time fan of this game, ever since I used to watch my father play it on our PS2 back in 2006. I've played the 2005 PC port which looked awful but had a solid 30FPS and later on a new port was released in 2007 for the PC with added original PS2 effects and now after trying this version I can say with no doubt that this is the best Resident Evil 4 experience I've ever had in my life and keep in mind I've been playing this game since 2008 I think and beaten it so many countless times that I can play the game in my mind and get every detail right. This port is is not without any bugs, there are quite a few like Generic controller bugs, sniper rifle slow motion, and the fact that this game's speed is tied to the framerate oh and the fact that fire effects are rendered at 30 fps but that's because the game is old, other than that this port is on point.",Recommended
"Capcom didn't port the game from console and now it's a mess, they promised a patch in 2015 and still haven't delivered. Do not waste your money. You often times can't even access the menu without it crashing or freezing and then when you get to the game itself you get additional issues piled on top.  \n\nOn the positive side they added high definition graphic (which everybody has to disable to even play anyway!!!) \nThanks Crapcom.",Not Recommended
ashley,Recommended
I own every version of this game and the Wii version is still the objectively superior port.,Recommended
Badass Main Character:✓\nOver the Top Intriguing and Well developed Costars:✓✓\nRASPUTIN:✓✓✓✓✓✓✓✓\n\nbest re game.,Recommended
This game never gets old. 10/10.,Recommended
Honestly hands down one of the best games i have played. Always been a graphics demanding person and this game is the only exception i am willing to play. Completed the game about 10 times and I just cannot have enough. \n\nThis will continue to be my favorite game and I don't think any other game will top it anytime soon,Recommended
It's Resident Evil-F***ING-4!! One of the best games in the PS2 era. What more did you expect?!,Recommended
"Resident Evil 4 is one of the best games i have played.\n\nAnd I just want to say: ""Leon is a Handsome Boy (like me)!""",Recommended
resident evil 4,Recommended
Masterpiece,Recommended
"literally this game is for most consoles, so you have no exception for playing this game",Recommended
"Great game, but this port has huge errors. I am forced to play in locked 30fps because if I go 60 fps in certain areas the game will go into slow motion in the literal sense. If I unlock the fps the game will frequently crash. The HD textures and fan made HD overhaul rule, but it's a shame that I can't enjoy it at peak performance.",Not Recommended
บังคับยากมาก ซับก็ไม่มี ความรู้สึกเก่าๆมันหายไปหมดอารมเล่น,Not Recommended
"It's quite fun to play and very, very repayable. The game runs alright, although RE5 runs better for me :p\nUse the modern aiming setting to remove negative acceleration",Recommended
"Best RE, nothing can top it. 10/10",Recommended
"Was slightly nauseating to play for the first few minutes but got used to it after a while.\nIt's core gameplay can be fun and difficult at the same time with unique gun play elements (contextually for its time) and a plethora of environmental hazards, foes, and scenarios which congrously make a great story line.\nI'd recommend downloading the HD remake pack for this game which you can find online.",Recommended
The president's daughter has been kidnapped by a group of villagers and cultists led by a midget and an evil priest.  Are you a bad enough dude to save her ?,Recommended
"Not sure why, but this game no longer launches after installing on my new computer. Drivers and everything are up-to-date. Don't buy until this issue is fixed. Otherwise, a classic.",Not Recommended
It’s so good,Recommended
not sure why but the video is nowhere near synced with the audio and is running slow as hell...unplayable...may as well bust out the old ps2 \n\n\nupdate...still unplayable...not sure how to fix but definitely money wasted,Not Recommended
"A really good game only held down by its quick time events and some what clunky and out dated controls. Plus, this pc HD port is not the best. Play with HD textures (custom) if you can and while 60fps is nice, it kinda causes some graphical and audio glitches.\n\nOverall, a solid 9/10",Recommended
i used to be able to play it but recently it doesn't let me even open the game. Its really annoying,Not Recommended
Great game and a fantastic classic to own.,Recommended
"Resident Evil 4 is one hell of a mixed bag. It's combat is fantastic and satisfying, it has a fast pace and never kept me bored, I got actually scared by it because of the sheer tension during the scenes and fights, and it has some of the best enemy variety in gaming. \nBut it's easily bogged down a good chunk of the missions having you do one long escort mission and quick time events that come from complete left field and instantly kill you if you fail. These may seem like small issues compared to the pros I just listed off, and yes they are. You can easily circumvent having to worry about your escort objective dying if you just tell them to sit down and wait for you, while you go clear the area. The quick time events is something that you cannot go around however. \nMore importantly, this game, as a port of a classic game, is downright insulting. The game has little options in terms of video settings, alot of weapons still have their reload animations in 30 frames per second, audio consistantly cut's out for a few seconds when a cutscene plays, the game is prone to crashing a whole fucking lot. And on one occasion, I had to completely restart my computer, which mind you can run this game 16 times over.\n\n\nTL;DR emulate this game",Recommended
The aiming is so terrible I just can't get myself to play it longer than 10 minutes. Waste of money. Do not buy it thinking it has the same aiming as resident evil 5.,Not Recommended
Super happy to play this on my PC with M+KB. It's a great game and I'm happy to own it.,Recommended
The best resident evil game ever\nYes even better then re2 remake \nSolid gunplay and horror\nPlay this masterpiece,Recommended
"Bought dis game for nostalgia, kek\n\nThat insect monster still makes me nervous as hell, boiz",Recommended
cool,Recommended
"I still remember how I got scared crap at the beginning of the game 10 years ago on the Wii, the chainsaw guy was the one that made me not play the game anymore x)\n\n\n\n\n\nAnd here I am, now 18 years old and still ""slightly""  scared at it.",Recommended
"This game holds up pretty well once you adjust to the control scheme. It's a great action game, but unfortunately loses some of the more tense horror moments from the earlier games because of how powerful you feel thanks to a better camera and control system. The voice acting is good, but leans towards being a bit campy at times. This is a game that has taken me forever to actually finish because I usually get annoyed with Leon's attitude towards every situation, but he's still a likable character with a great supporting cast, and compelling/believable villains in this situation. If you are a horror fan, and if you are a Resident Evil fan, you should definitely own this, especially at this low cost. One thing to be wary of is strange performance issues, but those are documented on the Steam Forums with recommended fixes.",Recommended
I am a french piece of shit and I hate this game.,Not Recommended
Shut the fucking QTE game. So sick of it,Not Recommended
"This is one of my favorite games of all time, not just in the series but overall. However the port quality was an issue (some have it real bad, I didn't).\n\n[h1] Port Quality: [/h1]\nThe game ran okay for most of it, but some random points (not even when a lot was going on) cause the game to drop in FPS, making the character slower than molasses. Heck, reloading the Semi-Auto Rifle drops the frames from 60 to 40. I never had any crashes or anything, but it was enough to be a slight nuisance. Also, for whatever reason, the cut scenes in Separate Ways are of garbage quality (think GameCube), but the cut scenes elsewhere are fine. Odd, but not unbearable, and I've never noticed this on other remasters. KB+M controls are odd for someone who's never played an RE game on PC, but can be figured out (if I have to press page down to rotate a thing, I don't like that).\n\n[h1] Game Quality: [/h1]\nLet's be honest: this is the best RE game ever made. Some may say it's either RE2/RE2Make (like a close 2nd) or even CV (Steve ruins it), but this game has phenomenal story and gameplay, and there are no points where I get exhausted from the game. Enemies are really neat and unique, and some can provide good scares (Regenerators are spooky). Bosses (mini or not) are fun to battle, especially the Wolverine(?) dudes. This game also started the Mercenaries mode where you fight ongoing wave of enemies (RE3 started it, but it was different), and provides good fun.\n\nOverall, amazing game, but not a great port, even if you meet system requirements. If you use console more often, I recommend it there, but without any major issues, I had a great time with this game.\n\n\n",Recommended
"Что можно сказать про Resident Evil 4? Игра 2005 года, положившая начало моей любви к хоррорам. Во время первого прохождения эта игра не на шутку заставляла гореть мой пердак, так как была достаточно сложна в прохождении ввиду кривого управления. Игра - шедевр. Лучшее произведение capcom в то время. Проходил сие творение более 10 раз, о чем не жалею ни капли. Улучшенная версия игры выглядит приятнее, однако весь потенциал и сложность игры невозможно прочувствовать, так как управление мышью очень облегчает геймплей, ввиду чего советую играть с геймпадом. Хотелось бы чтобы разрабочики сделали нечто похожее на эту игру.",Recommended
"Birth of the Over the Shoulder Camera, one of the best RE games, but I'm pissed that I almost did the infamous QTE sequence in one try but I failed the final event.\n\nSometimes scary, action packed, and suplex into head splat is erotic; Merchant is pretty cute too.",Recommended
"Wow just amazing!!! One of the best games in resident evil franchise,probably even the best.Good graphics,gameplay amazing,story spectacular.The only thing that bothered me was camera control,but you get used to it.definitely worth buying at full price. 10/10.",Recommended
"The game is almost the same as its gamecube/ps4/wii release with just a minor bug i noticed of items not always appearing when killing a hostile. The biggest one i noticed was killing the 2nd chainsaw hostile you can meet and him not dropping the ruby i believe, had to reload and kill him again for it to work.\nOther than that one minor but the game is just the same as the masterpiece i always loved.",Recommended
this game bring back my childhood,Recommended
One of the best games ever made.,Recommended
swag swag,Recommended
RESIDENT EVIL 4 / BIOHAZARD 4\n\nBuy it and enjoy the ride.,Recommended
"if all you played was the gamecube version get this there is a bit more in it for the die hard fans who want more than to just put this in their collection. This is a positive review for the closest to a perfect game in the series. If you want to start off with one that made the series popular start here as it's way more fun and dare I say scary than 5 or 6. Alright so here's some common issues players with windows 10 computers will have.\n\n1 - if the game runs slow\nexit your game. Go into the options and turn the games HD settings off. You may also need to turn the frame rate to 30fps. Then the game becomes more responsive like how you remember playing it on gamecube or similar. If you need those 60fps because its a higher number that sounds cool you can experiment with lower resolutions. I saw hardly any difference with a higher end monitor and a computer with far beyond the specs of this game. \n\n2 - my controller is too sensitive\nsame as before exit the game. They were too lazy to program controller sensitivity and were just trying to make a quick buck porting this. To fix this issue you'll want to actually go into mouse and keyboard settings. Adjust the mouse sensitivity and for whatever reason it fixes the controller even if you're using a basic third party controller with no additional software to adjust these. \n\n3 - my logitech f310 controller isn't picking up\nflip it over and slide the D to X switch to X. This I learned playing RE5 and devil may cry ""HD"" version. \n\nGoing from RE3 on PS1 to this is a giant leap. They pulled off the aiming system so well in this. It's scarier than 3. There are still puzzles that'll require more thought than in later titles though I haven't played the #2 remake or #7. They nailed the atmosphere it isn't just go into a room like a bug exterimnator. Hardly any one hit kills at least on easy. Yes there is actually difficulties on this game. If you're a pro player who played the gamecube port you'll notice there is no difficulty. This is on purpose. The game adjusted to how you played the game. Some levels had more enemies. Some less because of it. This they flat out give you a difficulty level. This means you'll skip the maze part, the clock tower scene , there will be less catapults, some parts having less enemies in parts and it rewards you to go back and play on the higher difficulties. Playing the bonus ada mission the 5 part one gamecube didnt have is either lazy or genius for fan service. However i hate how the one that is on gamecube the samples are the only thing in the entire game or bonus missions that take up inventory space.\n\none thing that doesn't get praised enough is the button mashing parts do not get progressively harder such as in metal gear solid games where you got to pretty much break a controller to get past the interrogation scenes in MGS 1, 2 or 3\n\nwhen you beat the game keep that cleared file, if you get a weapon unlocked on professional, the cleared file means you can have it on fun i mean normal. You're rewarded by completing just about every mode in the game including getting 5 stars n all 4 of the mercenaries missions with all 5 characters. cough cough cheat engine. The machine gun and all make the game a lot more enjoyable.\n\nWhat I like about this game is there is a currency system it's not all cryptic to get every gun and so forth in it. The currency was used in spain until 2002. I really like the shop keep. You can kill him and he respawns a few levels later like nothing happened. There is an abundance of ammo in this unlike RE6 or code veronica. The bosses are nowhere near as specific as some other titles such as Tyrant on code veronica in the plane or the first real boss of RE5. What they experimented in this game worked. Such as the bit of sailing a boat and so forth. But more than anything you can aim! yes this is the first game you can freely aim. \n\nanyways things I didn't like about this game\nwhere the developers decided to put the camera behind Leon is atrocious. It's at somewhat of a slant so unless you've got no life and played this for 100+ hours speed running you have to get used to it and compensate so much to land a head shot or something you could pull off in 2 seconds in a hitman, metal gear solid or gta game. \n\nin the mercenaries missions using Krauser or hunk is a liability. Hunk cannot stun mr chainsaw or mr big chainsaw at all so it's not enjoyable. Krauser has in some ways the best weapons in the game in other ways the worst. It was so unfair they gave him the death move that charges up. Using Ada and wesker are the only two to make it fun. \n\nprotecting Ashley\nthere was so much more potential for achievements \ntarget practice mini games are annoying, I'd include them in a menu outside the game to warm up \nthe lasers or any potential instant death playing on normal or easy \ni wish the striker shotgun had a faster fire rate, it was just a stronger riot gun\nI can't drop items and pick them up again. A mechanic I've only seen in RE zero\nanything to do with Krauser especially his playable bonus missions \nyou can't walk and shoot, this creates blind spots - they oddly enough fixed this in 6\nthe first set of controls are annoying. Switch to setting 2.\nthere are no shoulder buttons to move across menus faster\nexiting to the main menu is a chore \nthere is no windowed option to check emails or anything while playing this \n\nthe key items are quite dumbed down. Thankfully they don't take up real estate on your inventory. The key items could have been handled better such as in the spencer mansion in RE1 where you may have a key for hours not knowing what it does your first play through. \n\nthe worst boss had to be hands down the one in the falling containers. \n\nThere is some slow down even when you set the game to standard graphics and 30fps even on a more modern computer, you can adjust the resolution and all to get those 60fps or do some tips and tricks online but it doesn't make a big deal until you get to the action scene against Krauser will be a little tricky with the video out of sync in that cut scene you cannot skip where it's all quick time events. \n\nI think the game should have ended running out of Salazar's castle. The 5th and 6th chapters were about as Resident evil as a pink puff sucking up enemies and gaining their powers. Yet people spit on Chris's campaign which felt very similar in RE6. It could have made for another side mission such as when you play as Ada to run in and get the sample. \n\nThis game does have replay value with the new game + and of course all the secrets and unlockables but by the time you unlock wesker and gotten that weapon for completing the game on professional you're pretty much done and bored of this game. However the main story you don't get or need an S ranking to unlock junk unlike future resident evil games which grade you for everything. I'll give it that as a bonus. \n\nAll in all it's aged quite well aside from the biggest issue portion and is a lot more enjoyable than 5 or 6 for their own reasons. There is a reason why so many people talk about this game as it's in just about every resident evil fans top 3 for a reason. Though not perfect and some scenes really REALLY drag on it's one of the better games in the series. \n\nif they ever re-did this game just update the graphics to a much more A/B comparison, fix the camera angle and fix the technical issues like the slowdown frame rates and no windowed mode as well as the controller sensitivity and for the love of god don't make it harder like they did in the RE1 and RE2 remakes. We have difficulties and if i want to die 1000 times i'll just play on professional like a sensible adult. Maybe a few new levels or something but besides that don't touch it. It's as close to perfect as capcom will get in a RE game besides the original 1 for its time. Plus keep it at no DLC, skill should still unlock stuff. If people want to pay let them.",Recommended
Great game from my memories!,Recommended
Classic.,Recommended
Don't buy if you have a monitor with more than 60hz. mouse and keyboard controls are acceptable but playing it with a controller is better.,Recommended
"It's RE4, arguably the best one in the franchise. You have already played this game, if you haven't, you need to.\nGame play is fun, and varied enough in it's mechanics, enemy types and puzzles to keep things from getting stagnant. It's a horror game in the same capacity that Bohemian Rhapsody is an Opera. Doesn't make the experience any less compelling.\nAs for cons, the keyboard controls are awkward, whoever ported this game has probably never seen a computer, much less played video games on one. The dialogue is so bad that there is no way it wasn't written that way on purpose. The story is classic Resident Evil. Things happen, why? Who cares.\nAshley is the worst thing to come out of video games, and is probably the only Recommended horror aspect of this game.\nWell worth the price when it was on sale, hard to justify buying a relatively sad port of a game you have played through already at the asking price.\n\n\n  \n",Recommended
The game did not run for me at all and i had to request a refund. my computer is more than capable of running this game so unless i had to do somthing special with the files i dont know about it is unplayable for some.,Not Recommended
"One of the best games ever made - it still plays great, looks fantastic, and feels as fresh as the day it was unreleased. What distinguishes it above and beyond the other games in the series, and what makes it a superlative model for the entire genre, is its flawless approach to pulse-pounding action: the controls are absolutely perfect and it feels simple, clean, and deeply satisfying to handle all the game’s weapons. Definitely one of Capcom's finest adventure games and a must-own by any standard. \n\nAlso, shout-outs to my favorite character, the mysterious salesman...you'll never forget this guy and his weirdly memorable lines. ""What're ya buyin'?""",Recommended
